node,Aldabra,Anjouan,Europa,Grande_Comore,Grande_Glorieuse,Juan_de_Nova,Madagascar,Mauritius,Moheli,Reunion,Rodrigues,Seychelles
1,1,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,1,0,0,0,0
100,0.0402662229617304,0.0478369384359401,0.0293677204658902,0.0759567387687188,0.0363560732113145,0.0303660565723794,0.0436772046589018,0.03369384359401,0.0598169717138103,0.037936772046589,0.544176372712146,0.0205490848585691
101,8.31946755407654e-05,0.000415973377703827,0,0.000748752079866888,0,0.000166389351081531,0.000249584026622296,0.504742096505824,0.000249584026622296,0.491930116472546,0.00124792013311148,0.000166389351081531
102,0,8.31946755407654e-05,0,0.000831946755407654,0,0,0.000415973377703827,0.51089850249584,0.000166389351081531,0.4869384359401,0.000415973377703827,0.000249584026622296
103,0.00271025662742441,0.00152451935292623,0.00152451935292623,0.00601338189209791,0.00194799695096129,0.000846955196070128,0.00211738799017532,0.479207249936478,0.00431947149995765,0.492673837553993,0.00584399085288388,0.00127043279410519
104,0.0092069834100582,0.00425605836880049,0.00573265004777208,0.0157213584643447,0.00825154173542952,0.00608008338400069,0.00469035003908625,0.423955528532963,0.0114653000955442,0.489099279075827,0.0165899418049162,0.00495092504125771
105,0.114059900166389,0.052495840266223,0.0618136439267887,0.152745424292845,0.0707154742096506,0.0618968386023295,0.0555740432612313,0.0708818635607321,0.111480865224626,0.0925124792013311,0.104825291181364,0.0509983361064892
106,0.0845257903494176,0.0950915141430948,0.0574875207986689,0.159068219633943,0.0721297836938436,0.0569051580698835,0.0591514143094842,0.0249584026622296,0.101414309484193,0.0315307820299501,0.21846921797005,0.0392678868552413
107,0.0285619118994088,0.063036056291115,0.029477891581314,0.0760263135981347,0.0333916229494546,0.0269797651761179,0.0390540428012324,0.00324756432675493,0.0607877425264385,0.00649512865350987,0.613623115996336,0.0193188442001832
108,0.0214642262895175,0.052828618968386,0.0172212978369384,0.0509983361064892,0.0225457570715474,0.0200499168053245,0.0350249584026622,0.000748752079866888,0.0441763727121464,0.00149750415973378,0.719301164725458,0.0141430948419301
109,0.0694675540765391,0.248169717138103,0.0591514143094842,0.203993344425957,0.0661397670549085,0.0569051580698835,0.0621464226289517,0.00316139767054908,0.0848585690515807,0.00449251247920133,0.11198003327787,0.0295341098169717
11,0,0,0,0,0,0,0,0,0,1,0,0
110,0.0280366056572379,0.652246256239601,0.0302828618968386,0.0791181364392679,0.0332778702163062,0.0300332778702163,0.0410149750415973,0.000415973377703827,0.0453410981697171,0.000415973377703827,0.047504159733777,0.0123128119800333
111,0.10765391014975,0.0246256239600666,0.044675540765391,0.0508319467554077,0.0495840266222962,0.0430116472545757,0.0290349417637271,0.00615640599001664,0.0380199667221298,0.0086522462562396,0.03261231281198,0.565141430948419
112,0.0279534109816972,0.00449251247920133,0.00881863560732113,0.00740432612312812,0.00923460898502496,0.00765391014975042,0.00599001663893511,0.000166389351081531,0.00682196339434276,0.000332778702163062,0.00424292845257903,0.916888519134775
113,0.0130898782724696,0.00141737535434384,0.0039186259796565,0.00266800066700017,0.00433550108387527,0.00275137568784392,0.00225112556278139,0,0.00341837585459396,0,0.00150075037518759,0.964648991162248
114,0.000665557404326123,0.000415973377703827,0.000582362728785358,0.00183028286189684,0.000831946755407654,0.000499168053244592,0.000499168053244592,0.490349417637271,0.00174708818635607,0.498752079866889,0.00332778702163062,0.000499168053244592
115,0,0,0,0,0,0,0.000166389351081531,0.502579034941764,0.000249584026622296,0.497004991680532,0,0
12,0,1,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,1,0,0,0,0
14,0,0,0,0,0,0,0,1,0,0,0,0
15,0,0,0,0,0,0,0,0,0,1,0,0
16,0,0,0,0,0,0,0,0,0,0,0,1
17,0,0,0,0,0,0,0,1,0,0,0,0
18,0,0,0,0,0,0,0,0,0,1,0,0
19,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,1,0,0
20,0,0,0,0,0,0,0,0,0,1,0,0
21,0,0,0,0,0,0,0,1,0,0,0,0
22,0,0,1,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,1,0,0
24,0,0,0,0,0,0,0,0,0,1,0,0
25,0,0,0,0,0,0,0,1,0,0,0,0
26,0,0,0,0,0,0,0,0,0,1,0,0
27,0,0,0,0,0,0,0,0,0,0,0,1
28,0,0,0,0,0,0,0,0,0,0,1,0
29,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,1,0,0,0,0,0
30,0,0,0,0,0,0,0,1,0,0,0,0
31,0,0,0,0,0,0,0,1,0,0,0,0
32,0,0,0,0,0,0,0,1,0,0,0,0
33,0,0,0,0,0,0,0,0,0,1,0,0
34,0,0,0,0,0,0,0,0,0,1,0,0
35,0,0,0,0,0,0,0,0,1,0,0,0
36,0,0,0,0,0,1,0,0,0,0,0,0
37,0,0,0,0,0,0,0,1,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,1
39,0,0,0,0,0,0,0,1,0,0,0,0
4,0,0,0,0,0,0,0,1,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,1,0
41,1,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,1
43,0,0,0,1,0,0,0,0,0,0,0,0
44,0,1,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,1,0,0,0,0
46,0,0,0,0,0,0,0,1,0,0,0,0
47,0,0,0,0,0,0,0,1,0,0,0,0
48,0,0,0,0,1,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,1,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1
50,0,0,0,0,0,0,0,0,0,0,1,0
51,0,0,0,1,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,1,0,0,0,0
53,0,0,0,0,0,0,0,1,0,0,0,0
54,0,0,0,0,0,0,0,1,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,1
56,0,0,0,0,0,0,0,0,0,0,1,0
57,0,0,0,0,0,0,0,0,0,1,0,0
58,0,0,0,0,0,0,0,0,0,1,0,0
59,0.0300332778702163,0.0201331114808652,0.0224625623960067,0.037603993344426,0.0261231281198003,0.0195507487520799,0.0247920133111481,0.36738768718802,0.0341098169717138,0.36630615640599,0.0333610648918469,0.0181364392678869
6,0,0,0,0,0,0,0,1,0,0,0,0
60,0.0019134775374376,0.00141430948419301,0.00116472545757072,0.00391014975041597,0.00166389351081531,0.00116472545757072,0.00174708818635607,0.486522462562396,0.00382695507487521,0.491430948419301,0.00449251247920133,0.000748752079866888
61,0.000332778702163062,0.000166389351081531,8.31946755407654e-05,0.000665557404326123,8.31946755407654e-05,0,0.000166389351081531,0.51089850249584,0.000665557404326123,0.486272878535774,0.000582362728785358,8.31946755407654e-05
62,0,0,9.9009900990099e-05,9.9009900990099e-05,0,0,0,0.520495049504951,0,0.479108910891089,0.000198019801980198,0
63,0.000335120643431635,0,0.000167560321715818,0,0,0,0,0.51642091152815,0,0.483076407506702,0,0
64,0.000249667110519308,0,0,0.000166444740346205,0,8.32223701731025e-05,0.000166444740346205,0.502496671105193,8.32223701731025e-05,0.49650466045273,0.000249667110519308,0
65,0.00124792013311148,0.000415973377703827,0.000415973377703827,0.00141430948419301,0.000249584026622296,0.000332778702163062,0.00124792013311148,0.476539101497504,0.00149750415973378,0.514559068219634,0.00149750415973378,0.000582362728785358
