Bipartition,Mean_height,Median_height,Mean_age,Variance,CredInt_Lower,CredInt_Upper,Median,PSRF,Nruns
128,0.0179225,0.0175228,0.4368137,0.0104982,0.2555316,0.6489679,0.4272899,0.9996836,10.0000000
129,0.0016685,0.0014771,0.0406717,0.0006243,0.0009977,0.0881247,0.0360008,0.9997785,10.0000000
130,0.0021320,0.0019701,0.0519550,0.0006489,0.0097624,0.1028920,0.0479746,0.9997625,10.0000000
131,0.0096264,0.0093150,0.2346228,0.0038274,0.1255246,0.3560191,0.2269272,0.9997613,10.0000000
132,0.0078922,0.0076131,0.1923731,0.0028977,0.1004607,0.3039256,0.1855565,0.9996840,10.0000000
133,0.0100971,0.0097908,0.2461105,0.0036877,0.1410857,0.3697541,0.2386666,0.9996886,10.0000000
134,0.1113801,0.1108279,2.7143117,0.0798737,2.1810248,3.2850747,2.7002764,0.9996515,10.0000000
135,0.1653769,0.1646725,4.0313888,0.1479624,3.3122773,4.8234203,4.0114386,0.9995430,10.0000000
136,0.1639673,0.1631845,3.9954569,0.1506916,3.2163953,4.7380709,3.9759840,0.9994525,10.0000000
137,0.0014785,0.0013183,0.0360313,0.0005232,0.0000624,0.0779530,0.0321206,0.9998494,10.0000000
138,0.0998390,0.0995184,2.4330064,0.0933368,1.8832058,3.0749494,2.4185978,0.9994675,10.0000000
139,0.1114895,0.1109639,2.7174002,0.0773554,2.1955749,3.2741162,2.7060445,0.9993937,10.0000000
140,0.0210652,0.0205554,0.5133589,0.0109952,0.3350019,0.7290830,0.5006961,0.9995040,10.0000000
141,0.1507888,0.1499825,3.6760756,0.1472595,2.9472267,4.4347343,3.6578684,0.9995592,10.0000000
