Island,Name,Organism,Sample,label,Alt_label
Reunion,A10_Reu4296,Cratopopsis nitidifrons subgroup 7,T-Reu 4296,Cratopopsis nitidifrons subgroup 7 (Reunion),Reunion Cratopopsis group
Aldabra,A01_Ald3,Cratopus viridsparsus,T-Ald3,Cratopus viridsparsus (Aldabra),Cratopus viridsparsus (Aldabra)
Mauritius,F09_Mau3649,Cratopus armatus,T-Mau 3649,Cratopus armatus (Mauritius),Cratopus armatus (Mauritius)
Mauritius,G07_Mau3572,Cratopus viridilimbatus,T-Mau 3572,Cratopus viridilimbatus (Mauritius),Cratopus viridilimbatus (Mauritius)
Grande Comore,G03_GRA10,Cratopus subdenudatus,T-GRA10,Cratopus subdenudatus (Grande Comore),Cratopus subdenudatus (Grande Comore)
Reunion,B10_Reu2320,Scaevinus dombayae,T-Reu 2320,Scaevinus dombayae (Reunion),Scaevinus dombayae (Reunion)
Reunion,G06_Reu245,Cratopus tristis,T-Reu 245,Cratopus tristis (Reunion),Cratopus tristis (Reunion)
Silhouette,B02_Sil4,Cratopus griseovestitus,T-Sil4,Cratopus griseovestitus (Silhouette),Cratopus griseovestitus (Silhouette)
Mauritius,A06_Mau3268,Cratopopsis mauritianus,T-Mau 3268,Cratopopsis mauritianus (Mauritius),Mauritius Cratopopsis group
Reunion,F05_Reu4873,Cratopopsis obscurus subgroup 6,T-Reu 4873,Cratopopsis obscurus subgroup 6 (Reunion),Reunion Cratopopsis group
Cousin Island,H09_Csn1,Cratopus griseovestitus,T-Csn1,Cratopus griseovestitus (Cousin Island),Cratopus griseovestitus (Cousin Island)
Mauritius,E04_Mau270,Cratopus punctum,T-Mau 270,Cratopus punctum (Mauritius),Cratopus punctum (Mauritius)
Reunion,A02_Reu3926,Cratopus frappieri,T-Reu 3926,Cratopus frappieri (Reunion),Cratopus frappieri (Reunion)
Mauritius,B07_Mau3532,Cratopus murcali_hybrid,T-Mau 3532,Cratopus murcali_hybrid (Mauritius),Cratopus murcali_hybrid (Mauritius)
Mauritius,B08_Mau256,Cratopus striga,T-Mau 256,Cratopus striga (Mauritius),Cratopus striga (Mauritius)
Grande Glorieuse,G10_GGL2,Cratopus gloriosus,T-GGL2,Cratopus gloriosus (Grande Glorieuse),Cratopus gloriosus (Grande Glorieuse)
Mauritius,E01_Mau249,Cratopus emarginatus,T-Mau 249,Cratopus emarginatus (Mauritius),Cratopus emarginatus (Mauritius)
Madagascar,A04_Mad502,Polyclaeis equestris,T-Mad502,Polyclaeis equestris (Madagascar),Polyclaeis equestris (Madagascar)
Reunion,D09_Reu2041,Cratopus brunnipes,T-Reu 2041,Cratopus brunnipes (Reunion),Cratopus brunnipes (Reunion)
Reunion,E08_Reu4150,Cratopus marmoreus,T-Reu 4150,Cratopus marmoreus (Reunion),Cratopus marmoreus (Reunion)
Rodrigues,H03_Rod257,Cratopus inornatus,T-Rod 257,Cratopus inornatus (Rodrigues),Cratopus inornatus (Rodrigues)
Reunion,D03_Reu3631,Cratopus sandi,T-Reu 3631,Cratopus sandi (Reunion),Cratopus sandi (Reunion)
Reunion,C04_Reu3837,Cratopus nanus,T-Reu 3837,Cratopus nanus (Reunion),Cratopus nanus (Reunion)
Reunion,A08_Reu2383,Cratopus fulvescens,T-Reu 2383,Cratopus fulvescens (Reunion),Cratopus humeralis group (Reunion)
Reunion,H04_Reu4744,Cratopopsis villosulus subgroup 2,T-Reu 4744,Cratopopsis villosulus subgroup 2 (Reunion),Reunion Cratopopsis group
Mauritius,B03_Mau3189,Cratopus caliginosus,T-Mau 3189,Cratopus caliginosus (Mauritius),Cratopus caliginosus (Mauritius)
Mauritius,H08_Mau3333,Cratopus psittacus,T-Mau 3333,Cratopus psittacus (Mauritius),Cratopus psittacus (Mauritius)
Mauritius,B09_Mau3307,Cratopus vulgaris,T-Mau 3307,Cratopus vulgaris (Mauritius),Cratopus aeneoniger group (Mauritius)
Reunion,E05_Reu4137,Cratopopsis fulvicornis subgroup 5,T-Reu 4137,Cratopopsis fulvicornis subgroup 5 (Reunion),Reunion Cratopopsis group
Europa,C09_EUR51,Cratopus viridisparsus,T-EUR51,Cratopus viridisparsus (Europa),Cratopus viridisparsus (Europa)
Aride Island,A07_Ari1,Cratopus griseovestitus,T-Ari1,Cratopus griseovestitus (Aride Island),Cratopus griseovestitus (Aride Island)
Mauritius,A09_Mau3863,Cratopus nigrogranatus,T-Mau 3863,Cratopus nigrogranatus (Mauritius),Cratopus nigrogranatus group (Mauritius)
Mauritius,C02_Mau3202,Cratopus molitor,T-Mau 3202,Cratopus molitor (Mauritius),Cratopus molitor (Mauritius)
Mauritius,H07_Mau3099,Cratopus ovalis,T-Mau 3099,Cratopus ovalis (Mauritius),Cratopus ovalis (Mauritius)
Reunion,D10_Reu2325,Cratopopsis fulvicornis,T-Reu 2325,Cratopopsis fulvicornis subgroup 6 (Reunion),Reunion Cratopopsis group
Reunion,C06_Reu2000,Cratopus ditissimus,T-Reu 2000,Cratopus ditissimus (Reunion),Cratopus ditissimus (Reunion)
Mauritius,C11_Mau129,Cratopus viridulus,T-Mau 129,Cratopus viridulus (Mauritius),Cratopus viridulus (Mauritius)
Reunion,C10_Reu2580,Cratopus exquisitus,T-Reu 2580,Cratopus exquisitus (Reunion),Cratopus exquisitus (Reunion)
Silhouette,H02_Sil1,Cratopus segregatus,T-Sil1,Cratopus segregatus (Silhouette),Cratopus segregatus (Silhouette)
Round Island,Rou_punc,Cratopus punctum,T-Rou20,Cratopus punctum (Round Island),Cratopus punctum (Round Island)
Reunion,Reu_punc,Cratopus punctum,T-Reu 3911,Cratopus punctum (Reunion),Cratopus punctum (Reunion)
Reunion,Reu_mur,Cratopus murinus,T-Reu 3850,Cratopus murinus (Reunion),Cratopus murinus (Reunion)
Ile de la Passe,Corraline_punc,Cratopus punctum,T-Mau 294,Cratopus punctum (Ile de la Passe),Cratopus punctum (Mauritius)
Ile de la Passe,Corraline_mur,Cratopus murinus,T-Mau 330,Cratopus murinus (Ile de la Passe),Cratopus murinus (Mauritius)
